task_id,task_name,nist_sp_id,task_description,work_role,category
5797,Task,T0899,"Periodically revise the privacy program in light of changes in laws, regulatory, or company policy.",General,Task
5798,Task,T0900,"Provide development guidance and assist in the identification, implementation, and maintenance of organization information privacy policies and procedures in coordination with organization management and administration and legal counsel.",General,Task
5799,Task,T0887,Provide leadership for the organization’s privacy program.,General,Task
5800,Task,T0897,"Provide leadership in the planning, design and evaluation of privacy and security related projects.",General,Task
5801,Task,T0874,Provide strategic guidance to corporate officers regarding information resources and technology.,General,Task
5802,Task,T0885,"Report on a periodic basis regarding the status of the privacy program to the Board, CEO or other responsible individual or committee.",General,Task
5803,Task,T0891,Resolve allegations of non-compliance with the corporate privacy policies or notice of information practices.,General,Task
5804,Task,T0905,Review all system-related information security plans to ensure alignment between security and privacy practices.,General,Task
5805,Task,T0878,Serve as the information privacy liaison for users of technology systems.,General,Task
5806,Task,T0870,Serve in a leadership role for Privacy Oversight Committee activities.,General,Task
5807,Task,T0914,"Support the organization’s privacy compliance program, working closely with the Privacy Officer, Chief Information Security Officer, and other business leaders to ensure compliance with federal and state privacy laws and regulations.",General,Task
5808,Task,T0890,Develop appropriate sanctions for failure to comply with the corporate privacy policies and procedures.,General,Task
5809,Task,T0893,Undertake a comprehensive review of the company’s data and privacy projects and ensure that they are consistent with corporate privacy and data security goals and policies.,General,Task
5810,Task,T0877,Work cooperatively with applicable organization units in overseeing consumer information access rights.,General,Task
5811,Task,T0906,"Work with all organization personnel involved with any aspect of release of protected information to ensure coordination with the organization’s policies, procedures and legal requirements.",General,Task
5812,Task,T0868,Work with business teams and senior management to ensure awareness of “best practices” on privacy and data security issues.,General,Task
5813,Task,T0883,Work with external affairs to develop relationships with consumer organizations and other NGOs with an interest in privacy and data security issues—and to manage company participation in public events related to privacy and data security.,General,Task
5814,Task,T0865,Work with external affairs to develop relationships with regulators and other government officials responsible for privacy and data security issues.,General,Task
5815,Task,T0886,Work with External Affairs to respond to press and other inquiries with regard to concern over consumer and employee data.,General,Task
5816,Task,T0862,"Work with legal counsel and management, key departments and committees to ensure the organization has and maintains appropriate privacy and confidentiality consent, authorization forms and information notices and materials reflecting current organization and legal practices and requirements.",General,Task
5817,Task,T0884,"Work with organization administration, legal counsel and other related parties to represent the organization’s information privacy interests with external parties, including government bodies, which undertake to adopt or amend privacy legislation, regulation or standard.",General,Task
5818,Task,T0869,Work with organization senior management to establish an organization-wide Privacy Oversight Committee.,General,Task
5819,Task,T0861,"Work with the general counsel, external affairs and businesses to ensure both existing and new services comply with privacy and data security obligations.",General,Task
5820,Task,T0927,Appoint and guide a team of IT security experts.,General,Task
5825,Task,T0928,Collaborate with key stakeholders to establish a cybersecurity risk management program,General,Task
6190,Task,T0402,Effectively allocate storage capacity in the design of data management systems.,General,Task
6470,Task,T0403,"Read, interpret, write, modify, and execute simple scripts (e.g., PERL, VBS) on Windows and UNIX systems (e.g., those that perform tasks such as: parsing large data files, automating manual tasks, and fetching/processing remote data).",General,Task
6780,Task,T0404,"Utilize different programming languages to write code, open files, read files, and write output to different files.",General,Task
6790,Task,T0405,"Utilize opens source language such as R and apply quantitative techniques (e.g., descriptive and inferential statistics, sampling, experimental design, parametric and non-parametric tests of difference, ordinary least squares regression, general line).",General,Task
